input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
YmIFavKRB8632roP2vy2gAI,,Central Roofing and Repairs,,"365 Little Collins St, Melbourne VIC 3000","{""Thursday"":[""7 am–9 pm""]}",null,https://centralroofingrepairs.com.au/,0451586026,4RJ65XM7+P3,0,4.900000,null,-37.815652,144.962734,,,,,,Australia/Melbourne,,0x6ad6430cfd95f699:0xaae0a4355eb3b825,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,Weathertech Roof and Gutters,,"Level 40/140 William St, Melbourne VIC 3000","{""Thursday"":[""7 am–8 pm""]}",null,https://weathertechroofing.com.au/,0473254716,4RJ65XM5+MG,0,4.800000,null,-37.815849,144.958839,,,,,,Australia/Melbourne,,0x6ad65d066770756b:0x2345a23633f83b2,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,New Look Roofing & Home Improvements,,"115 Collins St, Melbourne VIC 3000","{""Thursday"":[""Open 24 hours""]}",null,https://www.newlookroofingau.com/,0410997446,4RJ65XPC+42,0,5.000000,null,-37.814729,144.970016,,,,,,Australia/Melbourne,,0x6ad643e5639948ab:0xab23ced43f3f577b,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,Melbourne Roof Repairs,,"8/90 Collins St, Melbourne VIC 3000","{""Thursday"":[""Open 24 hours""]}",null,http://www.melbourneroofrepair.com.au/,(03)70442966,4RJ65XPC+94,0,5.000000,null,-37.814101,144.970350,,,,,,Australia/Melbourne,,0x6ad64309cbe1e093:0xd96aa165caa374b1,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,Exclusive Roofing & Home Improvements,,"101 Moray St, South Melbourne VIC 3205","{""Thursday"":[""Open 24 hours""]}",null,https://www.exclusiveroofingandhomeimprovements.com.au/,0430013968,4RJ65XC6+6Q,0,4.800000,null,-37.829402,144.961970,,,,,,Australia/Melbourne,,0x6ad64337a11aecfd:0x1a334f4116a9f931,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,First Class Roofing,,"117 Newry St, Carlton North VIC 3054","{""Thursday"":[""7 am–5 pm""]}",null,https://www.firstclassroofing.com.au/,0412069632,4RJ66X6C+3G,0,4.800000,null,-37.789839,144.971326,,,,,,Australia/Melbourne,,0x6ad641e0b82a2a1f:0xe8b98ed2b616ca99,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,Port Melbourne Roofing,,"48 Albert St, Port Melbourne VIC 3207","{""Thursday"":[""8 am–5 pm""]}",null,https://portmelbourneroofing.com.au/,0472743003,4RJ65W7M+8M,0,4.800000,null,-37.836654,144.934235,,,,,,Australia/Melbourne,,0x6ad6673480aec685:0x6596df774b251a26,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,BRP Roof Repair Melbourne,,"89 High St, Kew VIC 3101","{""Thursday"":[""Open 24 hours""]}",null,https://brproofrepairmelbourne.com/,0410884232,4RJ752RH+V5,0,5.000000,null,-37.807868,145.027919,,,,,,Australia/Melbourne,,0x6ad669002b806587:0xdf8d7f9e63266ad0,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,Seven Roofing,,"12 Harrison St, Brunswick East VIC 3057","{""Thursday"":[""7 am–6 pm""]}",null,https://sevenroofing.com.au/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,0404402145,4RJ66XPJ+H6,0,4.800000,null,-37.763572,144.980524,,,,,,Australia/Melbourne,,0x6ad66b5e04583f7d:0xcef21b209812d8ed,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
YmIFavKRB8632roP2vy2gAI,,Metropolitan Roof Repairs,,"35 Cotham Rd, Kew VIC 3101","{""Thursday"":[""Open 24 hours""]}",null,https://metropolitanroofrepair.com.au/,(03)86780398,4RJ752VM+75,0,5.000000,null,-37.806841,145.032973,,,,,,Australia/Melbourne,,0x6ad643157104911b:0xa69671e4e332a5d7,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
